"Name","VisualLevel","Deprecated","TID","InfoTID","HousingSpace","BarrackLevel","LaboratoryLevel","Speed","Hitpoints","TrainingTime","UpgradeTimeH","UpgradeTimeM","UpgradeResource","UpgradeCost","DonateCost","DonateXP","DonateCount","AttackRange","AttackSpeed","CoolDownOverride","DPS","PreferedTargetDamageMod","DamageRadius","AreaDamageIgnoresWalls","SelfAsAoeCenter","IconSWF","IconExportName","BigPicture","BigPictureSWF","Projectile","AltProjectile","PreferedTargetBuilding","PreferedTargetBuildingClass","PreferredTargetNoTargeting","DeployEffect","AttackEffect","AttackEffect2","HitEffect","HitEffect2","IsFlying","AirTargets","GroundTargets","AttackCount","DieEffect","DieEffect2","Animation","ProductionBuilding","IsJumper","MovementOffsetAmount","MovementOffsetSpeed","TombStone","DieDamage","DieDamageRadius","DieDamageEffect","DieDamageDelay","DisableProduction","SecondaryTroop","IsSecondaryTroop","SecondaryTroopCnt","SecondarySpawnDist","RandomizeSecSpawnDist","PickNewTargetAfterPushback","PushbackSpeed","SummonTroop","SummonTroopCount","SummonCooldown","SummonEffect","SummonLimit","SpawnIdle","SpawnOnAttack","StrengthWeight","AuraSpell","AuraSpellLevel","SpawnWhenDamaged","JumpHeightPercent","NoClipping","Squad","WallMovementCost","BurstCount","BurstDelay","AttackMultipleBuildings","IncreasingDamage","DPSLv2","DPSLv3","Lv2SwitchTime","Lv3SwitchTime","AttackEffectLv2","AttackEffectLv3","AttackEffectLv4","TransitionEffectLv2","TransitionEffectLv3","TransitionEffectLv4","TargetedEffectOffset","SecondarySpawnOffset","CustomDefenderIcon","SpecialMovementMod","InvisibilityRadius","HealthReductionPerSecond","AutoMergeDistance","AutoMergeGroupSize","IsUnderground","ProjectileBounces","FriendlyGroupWeight","EnemyGroupWeight","NewTargetAttackDelay","TriggersTraps","ChainShootingDistance","ChainAttackDistance","ChainAttackMaxTargets","ChainAttackDelay","ChainAttackDamageReductionPercent","ChainAttackEffect","PreAttackEffect","MoveStartsEffect","MoveTrailEffect","BecomesTargetableEffect","BoostedIfAlone","BoostRadius","BoostDmgPerfect","BoostAttackSpeed","HideEffect","VillageType","UnitsInCamp","SpecialAbilityLevel","SpecialAbilityName","SpecialAbilityInfo","SpecialAbilityType","SpecialAbilityAttribute","SpecialAbilityAttribute2","SpecialAbilityAttribute3","SpecialAbilitySpell","SpecialAbilityEffect","SpecialAbilityIcon","SpecialAbilityHideClipName","DisableDonate","ScaleByTH","EnabledByCalendar","EnabledBySuperLicence","LoseHpPerTick","LoseHpInterval","UpgradeLevelByTH","EvolveToCharacter","EvolveEffect","EvolveOnDamageDealt","EvolveTime","CanAttackWhileMoving","PreferredMovementTarget","RetargetAfterHit","Damage2","Damage2Radius","Damage2Delay","Damage2Min","Damage2FalloffStart","Damage2FalloffEnd","DamageMultiplierTarget","DamageMultiplierPercent","FrostOnHitTime","FrostOnHitPercent","DoesNotOpenCC","DefensiveTroop","DamageReductionToStorages","BunkerTroops","BunkerTroopCount1","BunkerTroopCount2","BunkerDegenerationTime","BunkerSpawnDist","HeroDamageMultiplier","PenetratingProjectile","PenetratingRadius","PenetratingExtraRange","ImmuneToHealing","PreferHeroes","HealerWeight","DefaultSkin","DefenseBonus","SmoothJump","SpecialAbilities","SpecialAbilitiesLevel","ReflectsDamage","AvoidNoiseInAttackPositionSelection","CarryOverToNextStage","FightWithGroups","TargetGroupsRadius","TargetGroupsRange","TargetGroupsMinWeight"
"String","int","boolean","String","String","int","int","int","int","int","int","int","int","String","int","int","int","int","int","int","int","int","int","int","boolean","boolean","String","String","String","String","String","String","String","String","boolean","String","String","String","String","String","boolean","boolean","boolean","int","String","String","String","String","boolean","int","int","String","int","int","String","int","boolean","String","boolean","int","int","boolean","boolean","int","String","int","int","String","int","int","boolean","int","String","int","int","int","boolean","String","int","int","int","boolean","boolean","int","int","int","int","String","String","String","String","String","String","int","int","String","int","int","int","int","int","boolean","int","int","int","int","boolean","int","int","int","int","int","String","String","String","String","String","boolean","int","int","int","String","int","int","int","String","String","String","int","int","int","String","String","String","String","boolean","boolean","boolean","boolean","int","int","int","String","String","int","int","boolean","String","boolean","int","int","int","int","int","int","String","int","int","int","boolean","String","int","String","int","int","int","int","int","boolean","int","int","boolean","boolean","int","String","int","boolean","String","String","boolean","boolean","boolean","boolean","int","int","int"
"Barbarian",1,,"TID_BARBARIAN","TID_CHARACTER_INFO_BARBARIAN",1,1,1,200,45,5,2,,"Elixir",20000,1,,,40,1000,,8,1,,,,"sc/ui.sc","icon_unit_barbarian","unit_barbarian_big","sc/info_barbarian.sc",,,,,,"Barbarian Deploy","Barbarian Attack",,"Barbarian Hit",,"FALSE","FALSE","TRUE",,"Barbarian Die",,"Barbarian","Barrack","FALSE",,0,"TombStone",,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,50,100,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,1,,54,,5,,,60000,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian",,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,3,,65,,12,,,200000,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian3",,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,5,,85,,24,,,650000,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian3",,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,6,,105,,36,,,1400000,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian5",,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,7,,125,,60,,,2100000,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian6",,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,8,,160,,72,,,2800000,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian7",,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,9,,205,,144,,,5000000,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian8",,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,,10,,230,,312,,,14000000,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,"Barbarian9",,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
